employee_id,first_name,last_name,email,phone,department,job_title,salary,join_date,performance_score
EMP0001,Robert,Vasquez,anthonyhubbard@example.com,395-797-9647,HR,Senior Analyst,89934.0,2022-09-06,5
EMP0002,Barbara,Bruce,bonniethomas@example.com,001-745-858-7716x94722,HR,Senior Consultant,77234.0,2024-07-05,5
EMP0003,Derek,Martin,smiller@example.net,356-450-4481x832,Enginering,Senior Consultant,92953.0,2022-11-02,3
EMP0004,Monique,Serrano,joseph51@example.net,001-852-702-8457,Sales,Senior Engineer,110460.0,2024-09-21,
EMP0005,Frank,Robinson,mariepope@example.net,+1-788-681-6711x207,HR,Manager Manager,75316.0,2023-07-29,2
EMP0006,Don,Ramos,gerald40@example.net,001-488-677-4924,IT,Junior Consultant,75317.0,,2
EMP0007,Jeffrey,Vincent,haileyparker@example.org,(516)311-0760,Marketing,Lead Engineer,111584.0,2020-04-12,5
EMP0008,Donna,Watkins,qwilson@example.org,001-745-858-7716x94722,Finance,Director Engineer,95348.0,2020-06-13,2
EMP0009,Elizabeth,Webster,morajamie@example.org,(450)512-4955,Sales,Lead Consultant,,2022-08-23,2
EMP0010,Carlos,Weiss,ricejennifer@example.com,(480)913-8759,Operations,Junior Analyst,70610.0,2023-06-27,5
EMP0011,,Rodriguez,ronaldstephens@example.net,(586)350-9480x141,Finance,Senior Engineer,90851.0,2024-04-17,4
EMP0012,Tina,Coleman,rickjuarez@example.com,271-382-7548,Operations,Director Manager,70731.0,2021-10-04,3
EMP0013,Darrell,Campbell,sara74@example.com,+1-447-238-6463x175,Operations,Lead Consultant,,2025-02-10,5
EMP0014,Travis,Garcia,rmills@example.org,(620)750-2099,Operations,Junior Analyst,70685.0,2020-09-17,2
EMP0015,,Neal,,853-953-9613,Engineering,Senior Analyst,84839.0,2021-07-05,
EMP0016,Jennifer,Perkins,katelyn65@example.com,349.829.2983,IT,Lead Consultant,41734.0,,
EMP0017,Stephanie,Archer,nicolejohnson@example.net,342.971.1477x32010,Marketing,Director Consultant,45501.0,2023-07-05,2
EMP0018,Teresa,Reyes,,001-218-277-3477x84858,Sales,Senior Analyst,68754.0,2025-01-27,3
EMP0019,Nicole,Wilson,yedwards@example.com,900.328.4276x246,Sales,Manager Engineer,59743.0,2022-12-18,
EMP0020,Tracy,Spencer,awest@example.org,+1-697-978-2806,Finance,Manager Analyst,86284.0,,3
EMP0021,Nicholas,Rhodes,dylanwatts@example.org,001-345-800-9025x59056,Sales,Manager Manager,61839.0,2021-11-04,3
EMP0022,Michael,Bell,johnwong@example.net,214-915-2085,Sales,Junior Engineer,51753.0,2023-05-29,4
EMP0023,,Robertson,,001-905-369-6591,Marketing,Director Analyst,109312.0,,1
EMP0024,,Crawford,garrett45@example.com,871.583.4404,HR,Director Manager,75484.0,2023-03-30,5
EMP0025,Susan,Robbins,vargasjoshua@example.net,876.635.1484x68536,Marketing,Senior Manager,81350.0,2023-03-30,2
EMP0026,Shawn,Hines,larsonemma@example.org,+1-327-223-8656x24220,Finance,Junior Manager,51505.0,2021-01-07,
EMP0027,Andrew,Warner,hodgemark@example.net,(297)537-4896,Operations,Junior Consultant,69112.0,2021-12-09,2
EMP0028,Dylan,Hernandez,xwest@example.net,+1-899-661-1253x5544,Engineering,Lead Consultant,82218.0,2023-07-19,2
EMP0029,Kevin,Graham,michelle13@example.com,494-831-1426,Engineering,Lead Manager,56980.0,2021-06-14,5
EMP0030,Justin,Martin,richardwilson@example.org,626.948.7049,Engineering,Manager Consultant,87513.0,2020-04-03,1
EMP0031,Laura,Collins,bcastro@example.com,+1-203-224-2044x8207,Operations,Manager Consultant,,2024-06-01,4
EMP0032,Christopher,Guzman,lesterrichard@example.com,+1-316-523-1981x89847,Engineering,Manager Engineer,,2023-02-12,2
EMP0033,,Edwards,chenbailey@example.net,001-663-963-2123,IT,Director Engineer,67987.0,,1
EMP0034,Michelle,Brown,,+1-688-839-2053x021,Finance,Senior Analyst,74166.0,2022-10-14,2
EMP0035,,Rodriguez,nolanjason@example.org,+1-667-234-2575,Marketing,Director Analyst,67965.0,2023-05-07,
EMP0036,Rebecca,Johnson,vazquezkristina@example.org,(284)641-9866x524,Sales,Manager Manager,117045.0,2021-05-20,3
EMP0037,Paul,Fowler,gbender@example.net,001-551-683-7606x441,HR,Director Manager,79730.0,2021-03-03,5
EMP0038,Pamela,Moon,sarah35@example.org,+1-656-304-1776x5612,Finance,Junior Manager,58845.0,2021-11-16,5
EMP0039,Carrie,Li,shawn00@example.net,(725)457-9415,Engineering,Lead Engineer,96450.0,2023-04-30,3
EMP0040,Crystal,Gibbs,aarongonzalez@example.com,691-412-3829x65772,Sales,Manager Analyst,55583.0,2023-07-23,1
EMP0041,,Marsh,christopherrichardson@example.com,(293)800-8931x7342,Operations,Director Consultant,84177.0,2023-03-18,1
EMP0042,Caroline,Hernandez,jamessmith@example.org,001-347-281-2914x28341,IT,Senior Manager,40806.0,2024-11-28,1
EMP0043,George,Bradley,kchavez@example.com,6866771333,Finance,Lead Analyst,,2023-11-07,4
EMP0044,Patrick,Reynolds,carolcarney@example.com,801.207.1396,Finance,Director Consultant,53436.0,2023-10-02,2
EMP0045,Jaime,White,anthonycherry@example.org,+1-573-859-7107x256,Finance,Director Analyst,83937.0,2023-08-30,4
EMP0046,,Scott,jennifercruz@example.com,280-205-3759,Engineering,Senior Manager,94769.0,,3
EMP0047,Christine,Turner,ilambert@example.net,4923428757,Engineering,Senior Analyst,83427.0,2021-09-14,3
EMP0048,Alyssa,Thomas,,650-627-4564,HR,Director Consultant,,2022-09-14,3
